"search-number","evaluation","turret-adjust*","vision-angle1*","vision-dist1*","vision-angle2*","vision-dist2*","vision-angle3*","vision-dist3*","v1?*","v2?*","v3?*","seen-chance1*","seen-chance2*","seen-chance3*","num-replicates","best-fitness-so-far"
"1","501","3","13","25","49","8","86","3","true","true","true","70","100","100","1","6.308468868676924"
"2","504","3","13","25","82","4.5","88","3.5","true","true","true","100","100","65","1","6.60707469778971"
"3","500","3","13","25","82","4.5","18","11","true","true","true","60","100","100","1","6.419844521672001"
"4","500","3","14","25","87","3","49","8","true","true","true","70","100","100","1","6.353877991682547"
"5","500","3","12","25","93","3","49","8","true","true","true","100","100","100","1","6.340186809825747"
