"search-number","evaluation","turret-adjust*","vision-angle1*","vision-dist1*","vision-angle2*","vision-dist2*","vision-angle3*","vision-dist3*","v1?*","v2?*","v3?*","seen-chance1*","seen-chance2*","seen-chance3*","num-replicates","best-fitness-so-far"
"2","125","-1","10","25","106","4.5","72","4.5","true","true","true","25","95","50","1","8.265309025995233"
"2","126","0","23","25","106","4.5","72","4.5","true","true","true","25","95","40","1","8.23523453845117"
"2","132","0","10","25","106","4.5","72","4.5","true","true","true","25","95","40","1","8.197903955539337"
"2","140","0","10","25","106","4.5","72","4.5","true","true","true","40","95","40","1","8.183350107173899"
"2","141","-0.5","23","25","106","4.5","83","4.5","true","true","true","25","100","40","1","8.012169605921676"
"2","145","0","10","25","106","4.5","72","4.5","true","true","true","25","100","40","1","7.976231702332129"
"2","150","0","10","25","106","4.5","72","4.5","true","true","true","25","100","45","1","7.97623170233212"
"2","162","0","10","25","106","4.5","72","4.5","true","true","true","30","100","45","1","7.965723010069936"
"2","163","0","11","25","106","4.5","74","4.5","true","true","true","25","100","40","1","7.949636972615075"
"2","164","0.5","10","25","106","4.5","72","4.5","true","true","true","25","100","45","1","7.913155111184637"
"2","165","0","10","25","93","4.5","72","4.5","true","true","true","25","100","45","1","7.85769688356899"
"2","172","0","10","25","93","4.5","72","4.5","true","true","true","30","100","45","1","7.848693481452275"
"2","173","0","12","25","93","4.5","72","4.5","true","true","true","25","100","45","1","7.813146019118186"
"2","176","0","12","25","93","4.5","74","4.5","true","true","true","25","100","45","1","7.813146019118178"
"2","177","0","12","25","93","4.5","72","4.5","true","true","true","30","100","45","1","7.792799123418757"
"2","179","0","14","25","93","4.5","72","4.5","true","true","true","30","100","45","1","7.737736227797601"
"2","185","0","10","25","80","4.5","72","4.5","true","true","true","30","100","45","1","7.682021508217351"
"2","205","0","10","25","80","4.5","72","4.5","true","true","true","30","100","55","1","7.682021508217348"
"2","211","0","15","25","80","4.5","72","4.5","true","true","true","30","100","55","1","7.5550682203167625"
"2","226","1","15","25","80","4.5","72","4.5","true","true","true","30","100","55","1","7.451555687209074"
"2","237","1","15","25","80","4.5","72","4.5","true","true","true","30","100","45","1","7.451555687209073"
"2","248","1","15","25","80","4.5","72","0","true","true","true","30","100","45","1","7.451555687209069"
"2","262","1.5","15","25","80","4.5","72","0","true","true","true","30","100","45","1","7.404951081953966"
"2","278","1.5","15","25","80","4.5","72","0","true","true","true","35","100","45","1","7.3486071828489425"
"2","288","2","15","25","80","4.5","72","0","true","true","true","35","100","45","1","7.310560594398502"
"2","296","2","15","25","80","4.5","72","0","true","true","true","35","100","55","1","7.310560594398488"
"2","299","2.5","15","25","80","4.5","72","0","true","true","true","35","100","45","1","7.297937466356461"
"2","306","2","15","25","80","4.5","81","0","true","true","true","40","100","45","1","7.243929460870639"
"2","316","2","15","25","80","4.5","72","3","true","true","true","45","100","35","1","7.2059419588755595"
"2","318","2","15","25","80","4.5","72","3","true","true","true","45","100","45","1","7.205941958875554"
"2","320","2.5","15","25","80","4.5","72","3","true","true","true","45","100","45","1","7.187744812752301"
"2","321","2","15","25","80","4.5","72","1.5","true","true","true","50","100","45","1","7.1510058817622575"
"2","324","2.5","15","25","80","4.5","72","0","true","true","true","50","100","45","1","7.130131296093115"
"2","325","2.5","15","25","80","4.5","72","3","true","true","true","55","100","45","1","7.09723915765554"
"2","336","2.5","15","25","80","4.5","72","3","true","true","true","60","100","45","1","7.04868339758977"
"2","365","2.5","15","25","80","4.5","69","2.5","true","true","true","60","100","45","1","7.048683397589765"
"2","366","2.5","15","25","80","4.5","72","2.5","true","true","true","60","100","60","1","7.0486833975897625"
"2","367","2.5","15","25","80","4.5","72","2.5","true","true","true","70","100","45","1","6.991147164672204"
"2","375","2.5","15","25","80","4.5","61","2.5","true","true","true","70","100","45","1","6.991147164672199"
"2","378","2.5","15","25","80","4.5","59","2.5","true","true","true","70","100","45","1","6.991147164672185"
"2","379","2.5","12","25","80","4.5","72","2.5","true","true","true","70","100","45","1","6.961613440843016"
"2","385","3","12","25","80","4.5","72","2.5","true","true","true","70","100","45","1","6.909463358447332"
"2","386","3","12","25","80","4.5","72","2.5","true","true","true","75","100","45","1","6.886883943570999"
"2","400","3","12","25","80","4.5","49","2.5","true","true","true","75","100","45","1","6.886883943570986"
"2","402","3","12","25","80","4.5","72","2.5","true","true","true","95","100","45","1","6.830216726110683"
"2","411","3","12","25","80","4.5","72","2.5","true","true","true","100","100","45","1","6.732818551615397"
"2","423","3","12","25","80","4.5","72","0","true","true","true","100","100","45","1","6.732818551615388"
"2","439","3","13","25","80","4.5","72","0","true","true","true","100","100","45","1","6.632934095639131"
"2","454","3","13","25","82","4.5","77","3.5","true","true","true","100","100","45","1","6.620196503015292"
"2","474","3","13","25","82","4.5","88","3.5","true","true","true","100","100","45","1","6.610733694913992"
"2","478","3","13","25","82","4.5","88","3.5","true","true","true","100","100","55","1","6.608733290018616"
"2","502","3","13","25","82","4.5","88","3.5","true","true","true","100","100","65","1","6.60707469778971"
"3","1","0","85","25","100","15","64","13.5","true","true","true","90","50","30","1","28.591570764084324"
"3","2","-2","110","25","40","18.5","19","23","true","true","true","40","20","45","1","24.284579129184067"
"3","3","-1.5","48","25","89","22","11","10","true","true","true","60","60","15","1","23.281013642376415"
